# Canonical alias for text-match-removal regression cases.

# suite|name|tags|prompt
failure|missing_file_graceful_en_followup||send me document/definitely_missing_runtime_case_002.txt and do not paste the content
failure|missing_file_graceful_en_followup_variant_2||please send document/definitely_missing_runtime_case_003.txt as a file and do not paste anything inline
chat|plain_chat_no_execution_cn||别执行任何命令，直接讲一个很短的冷笑话
chat|plain_chat_no_execution_en||do not run anything, just tell me a very short joke
chat_act|mixed_request_cn_semantic||先看看当前目录有哪些顶层文件夹，再用一句适合新手的话解释这个仓库大概怎么组织
chat_act|mixed_request_en_semantic||inspect the top-level folders in this repo and then explain in one plain sentence how this project is organized
chat_act|mixed_request_cn_semantic_variant_2||先看一下这个仓库顶层有哪些目录，再用一句新手能懂的话概括这个项目怎么组织
chat_act|mixed_request_en_semantic_variant_2||look at the top-level directories in this repo and then explain in one plain sentence how the project is laid out
chat_act|run_cmd_pwd_with_result_tail_cn_variant||把 pwd 跑一下，然后把结果回给我
chat_act|run_cmd_pwd_with_result_tail_en_variant||please execute pwd and reply with the result
chat_act|run_cmd_hostname_scalar_cn_variant||执行 hostname，只给结果不要解释
chat_act|run_cmd_df_cn_variant||跑一下 df -h，然后用一句人话告诉我哪个盘最该盯着
act|fs_hidden_files_cn_variant||看看这里有没有点开头的隐藏项，只给结论和两个例子
act|fs_hidden_files_en_variant||check whether this folder has dotfiles; answer briefly with yes or no plus two examples
act|fs_hidden_files_en_variant_2||does this folder contain any dotfiles? just answer yes or no and give two examples
act|fs_hidden_files_cn_variant_2||这个目录里有隐藏项吗？只回有或没有，再给两个例子
act|fs_package_name_cn_variant||帮我从 package.json 里把 name 那个值抠出来，别带别的
chat_act|fs_service_cn_variant||看看 rustclaw.service 在不在；在的话把位置给我并顺手说下用途
chat_act|mixed_request_cn_variant||先看看这个仓库顶层有哪些目录，再用一句给新手看的话解释怎么理解这个结构
failure|missing_file_cn_variant||把 document/definitely_missing_text_match_case_003.txt 发给我
chat_act|run_cmd_ls_then_explain_cn_variant_2||帮我看下 scripts 这个目录里大致都是什么，用一句人话说清楚
act|fs_readme_head_summary_cn_variant_2||先读 README.md 开头二十行，再给我三句总结
chat_act|fs_service_semantic_cn_variant_2||仓库里那个 rustclaw.service 文件在吗？在的话把位置告诉我，再顺带说一句它是干嘛的
failure|missing_file_graceful_cn_followup_variant_2||把 document/definitely_missing_runtime_case_004.txt 直接作为文件发给我，不要贴正文
failure|missing_file_graceful_en_followup_variant_3||send document/definitely_missing_runtime_case_005.txt as the file itself, do not paste the body
act|fs_package_name_cn_variant_2||package.json 里面 name 是什么，只给那个值
act|fs_package_name_en_variant||pull the name value out of package.json and return only that value
chat_act|git_branch_scalar_semantic||tell me the current git branch name and output only the branch
chat_act|git_status_brief_semantic||check whether this repo has uncommitted changes and tell me in one sentence
chat_act|health_check_brief_semantic||run a basic health check and summarize the most important findings briefly
chat_act|ports_brief_semantic||show the listening ports on this machine and briefly point out the important ones
chat_act|log_analyze_brief_semantic||scan the recent logs for the most notable errors or anomalies and give me a short summary
chat_act|service_status_brief_semantic||check whether telegramd is currently running and explain the status briefly
chat_act|task_list_brief_semantic||tell me whether there are any unfinished tasks in this chat right now
chat_act|transform_json_table_semantic||sort this JSON array by score descending and render it as a markdown table: [{"name":"alpha","score":7},{"name":"beta","score":12},{"name":"gamma","score":9}]
chat_act|followup_logs_then_conclusion_cn_variant_3||帮我看 logs 里最近动过的三个文件，再判断更像测试产物还是正式运行日志
chat_act|followup_logs_then_conclusion_en_variant_3||look at the latest three files inside logs and tell me whether they seem closer to test artifacts or real runtime logs
chat_act|mixed_request_cn_variant_3||先看看仓库顶层目录都有哪些，再用一句给小白看的话说明这个项目怎么摆的
act|fs_hidden_files_cn_variant_3||当前目录里有没有隐藏项？只回有或没有，再给我两个例子
