# Canonical alias for the comprehensive natural-language suite.
# Keep this file name stable for future full-suite NL runs.

# suite|name|tags|prompt
file|file_write_and_deliver_semantic_en_variant_2||make a text file at document/text_match_regression_en_2.txt with content parser fallback regression and send it to me as a file
failure|missing_file_graceful|missing_file_graceful|把 definitely_missing_named_file_rustclaw_001.txt 发给我
failure|missing_readme_variant|missing_file_graceful|把 definitely_missing_named_file_rustclaw_user_ops_24686.md 发给我
failure|missing_shell_script|missing_file_graceful|把 document/definitely_missing_shell_001.sh 发给我
failure|missing_file_graceful_cn_semantic||把 document/definitely_missing_text_match_case_001.txt 发给我
failure|missing_file_graceful_en_semantic||please send me document/definitely_missing_text_match_case_002.txt
failure|missing_file_graceful_cn_followup||把 document/definitely_missing_runtime_case_001.txt 发给我，不要贴内容
failure|missing_file_graceful_en_followup||send me document/definitely_missing_runtime_case_002.txt and do not paste the content
failure|missing_file_graceful_en_followup_variant_2||please send document/definitely_missing_runtime_case_003.txt as a file and do not paste anything inline
chat_act|run_cmd_pwd_with_result_tail||执行 pwd，然后告诉我结果
chat_act|run_cmd_uname_with_result_tail_en||please run uname -a and tell me the result
chat_act|run_cmd_ls_then_explain||执行 ls scripts，然后用一句话告诉我这个目录大概放的是什么
chat_act|run_cmd_df_then_brief||执行 df -h，然后用大白话告诉我最需要关注哪一项
chat_act|run_cmd_whoami_scalar||执行 whoami，只输出结果，不要解释
act|act_hidden_files_plain_cn||看看这里有没有点开头的隐藏项，只给结论和两个例子
act|act_hidden_files_plain_en||check whether this folder has dotfiles; answer briefly with yes or no plus two examples
act|act_hidden_files_plain_en_variant_2||does this folder contain any dotfiles? just answer yes or no and give two examples
act|act_hidden_files_plain_cn_variant_2||这个目录里有隐藏项吗？只回有或没有，再给两个例子
act|act_pwd_variant_cn||帮我看一下我现在所在目录，直接给绝对路径
act|act_pwd_variant_en||show me the absolute path of the directory we are currently in, nothing else
act|act_hostname_variant_en||what machine am I on right now? just print the hostname
act|act_username_variant_en||who is the current user here? output only the username
act|act_package_name_variant_cn||帮我从 package.json 里把 name 那个值抠出来，别带别的
act|act_count_scripts_variant_cn||数一下 scripts 目录直接有多少个东西，只回数字
act|act_count_rs_variant_en||count how many rust source files are directly under crates/clawd/src or below; reply with just the number
chat_act|chat_act_docs_variant_cn||看一下 docs 目录里都是什么，再用一句人话解释用途
chat_act|chat_act_docs_variant_en||inspect the docs folder and then explain in one simple sentence what those docs are mainly for
chat_act|chat_act_readme_variant_en||read the beginning of README.md and explain it in one plain sentence for a non-technical user
chat_act|chat_act_readme_variant_cn||先看看 README 开头，再用一句不技术的话告诉我这是干什么的
chat_act|chat_act_df_variant_en||check disk usage and tell me in plain English which place looks the most risky
chat_act|chat_act_compare_variant_cn||帮我比一下 README.md 和 README.zh-CN.md 哪个更大，再顺手解释一下
chat_act|chat_act_logs_variant_en||list the three most recently updated files in logs and then tell me whether these look more like test logs or production outputs
chat_act|run_cmd_df_variant_cn||跑一下 df -h，然后用一句人话告诉我哪个盘最该盯着
chat_act|run_cmd_ls_variant_en||run ls scripts and then tell me in one sentence what this directory is mostly for
chat_act|run_cmd_pwd_variant_en||run pwd and give me the result directly
chat_act|run_cmd_hostname_variant_cn||执行 hostname，只给结果不要解释
file|write_and_deliver_note_variant_cn|write_and_deliver|写个文本文件到 document/manual_note_variant.txt，内容是 manual note variant，然后把文件发给我
file|write_and_deliver_json_variant_en|write_and_deliver|create a json file at document/manual_meta_variant.json with app=RustClaw and suite=full, then send me the file
failure|missing_file_variant_en|missing_file_graceful|send me document/definitely_missing_full_variant_001.txt
failure|missing_file_variant_cn|missing_file_graceful|把 document/definitely_missing_full_variant_002.txt 发给我
chat_act|run_cmd_ls_variant_cn_2||帮我看一下 scripts 目录主要是放什么的，用一句通俗话说
act|act_read_readme_head_variant_cn_2||先读 README.md 的开头二十行，再帮我压成三句总结
chat_act|act_find_service_file_variant_cn_2||看看 rustclaw.service 在不在；在的话把路径给我，再顺手说一句用途
failure|missing_file_variant_cn_followup_2|missing_file_graceful|把 document/definitely_missing_full_variant_003.txt 当文件发给我，不要贴内容
failure|missing_file_variant_en_followup_2|missing_file_graceful|please send document/definitely_missing_full_variant_004.txt as a file only, no inline text
act|act_show_package_json_name_variant_cn_2||package.json 里的 name 到底是什么，只给值
act|act_show_package_json_name_variant_en_2||read package.json and return only the value of its name field
chat_act|act_git_branch_scalar||看看当前 git 分支叫什么，只给我分支名
chat_act|act_git_status_brief||看看这个仓库现在有没有未提交改动，用一句话告诉我
chat_act|act_health_check_brief||帮我做一次基础健康检查，只列最重要的结论
chat_act|act_ports_brief||看一下现在机器上有哪些监听端口，再简短说最值得注意的几个
chat_act|act_log_analyze_brief||快速看一下 logs 目录里最近最值得注意的错误或异常，给我一个简短总结
chat_act|act_service_status_brief||帮我检查 telegramd 现在是不是在运行，顺手简短解释状态
chat_act|act_task_list_brief||看看我这个会话里现在有没有未完成任务，简短告诉我结果
chat_act|act_transform_json_table||把这个 JSON 数组按 score 从高到低排一下，再输出成 markdown 表格：[{"name":"alpha","score":7},{"name":"beta","score":12},{"name":"gamma","score":9}]
chat_act|act_git_branch_scalar_en||tell me the current git branch name and return only the branch
chat_act|act_git_status_brief_en||check whether this repo has any uncommitted changes and tell me in one short sentence
chat_act|act_health_check_brief_en||run a basic health check here and summarize only the most important findings
chat_act|act_ports_brief_en||list the listening ports on this machine and briefly tell me which ones matter most
chat_act|act_log_analyze_brief_en||scan the recent logs for the most notable errors or anomalies and give me a short summary
chat_act|act_service_status_brief_en||check whether telegramd is running right now and briefly explain the status
chat_act|act_task_list_brief_en||tell me whether there are any unfinished tasks in this chat right now
chat_act|act_transform_json_table_en||sort this JSON array by score descending and render it as a markdown table: [{"name":"alpha","score":7},{"name":"beta","score":12},{"name":"gamma","score":9}]
chat_act|chat_act_logs_variant_cn_2||看一下 logs 里最新的三个文件，然后判断它们更像测试日志还是正式运行输出
chat_act|chat_act_logs_variant_en_2||check the three newest files under logs and decide whether they look more like test logs or real runtime outputs
chat_act|mixed_request_cn_variant_3||先看看仓库顶层目录，再用一句新手能懂的话解释整个结构
act|act_hidden_files_plain_cn_variant_3||现在这个目录里有没有隐藏项？只回有或没有，再举两个例子
